2025-05-06 14:01:30,310 - INFO - Ready for training......
2025-05-06 14:01:30,310 - INFO - Running on device cuda
2025-05-06 14:03:44,928 - INFO - Epoch 65: Loss = 41.7029, Accuracy = 27.20%
2025-05-06 14:03:47,002 - INFO - Epoch 66: Loss = 41.5951, Accuracy = 26.80%
2025-05-06 14:03:49,086 - INFO - Epoch 67: Loss = 41.5907, Accuracy = 25.20%
2025-05-06 14:03:51,163 - INFO - Epoch 68: Loss = 41.5611, Accuracy = 26.00%
2025-05-06 14:03:53,226 - INFO - Epoch 69: Loss = 41.2561, Accuracy = 28.00%
2025-05-06 14:03:55,270 - INFO - Epoch 70: Loss = 40.9125, Accuracy = 24.00%
2025-05-06 14:03:57,316 - INFO - Epoch 71: Loss = 41.0098, Accuracy = 30.40%
2025-05-06 14:03:59,367 - INFO - Epoch 72: Loss = 40.4671, Accuracy = 28.00%
2025-05-06 14:04:01,429 - INFO - Epoch 73: Loss = 40.0413, Accuracy = 30.00%
2025-05-06 14:04:03,488 - INFO - Epoch 74: Loss = 39.9225, Accuracy = 28.40%
2025-05-06 14:04:05,538 - INFO - Epoch 75: Loss = 40.1133, Accuracy = 29.20%
2025-05-06 14:04:07,617 - INFO - Epoch 76: Loss = 39.7723, Accuracy = 26.40%
2025-05-06 14:04:09,673 - INFO - Epoch 77: Loss = 39.2867, Accuracy = 28.80%
2025-05-06 14:04:11,744 - INFO - Epoch 78: Loss = 39.0144, Accuracy = 30.80%
2025-05-06 14:04:13,828 - INFO - Epoch 79: Loss = 39.0317, Accuracy = 30.40%
2025-05-06 14:04:15,898 - INFO - Epoch 80: Loss = 38.4061, Accuracy = 31.60%
2025-05-06 14:04:17,958 - INFO - Epoch 81: Loss = 38.0416, Accuracy = 33.20%
2025-05-06 14:04:20,004 - INFO - Epoch 82: Loss = 38.3389, Accuracy = 32.40%
2025-05-06 14:04:22,061 - INFO - Epoch 83: Loss = 38.2100, Accuracy = 33.20%
2025-05-06 14:04:24,133 - INFO - Epoch 84: Loss = 38.0344, Accuracy = 32.40%
2025-05-06 14:04:26,202 - INFO - Epoch 85: Loss = 37.5289, Accuracy = 32.80%
2025-05-06 14:04:28,271 - INFO - Epoch 86: Loss = 37.5988, Accuracy = 35.60%
2025-05-06 14:04:30,321 - INFO - Epoch 87: Loss = 37.7190, Accuracy = 36.00%
2025-05-06 14:04:32,371 - INFO - Epoch 88: Loss = 36.4699, Accuracy = 37.20%
2025-05-06 14:04:34,425 - INFO - Epoch 89: Loss = 36.6850, Accuracy = 35.60%
2025-05-06 14:04:36,502 - INFO - Epoch 90: Loss = 36.8968, Accuracy = 31.20%
2025-05-06 14:04:38,571 - INFO - Epoch 91: Loss = 36.8236, Accuracy = 34.40%
2025-05-06 14:04:40,629 - INFO - Epoch 92: Loss = 36.3055, Accuracy = 38.00%
2025-05-06 14:04:42,705 - INFO - Epoch 93: Loss = 36.7163, Accuracy = 32.00%
2025-05-06 14:04:44,759 - INFO - Epoch 94: Loss = 35.9928, Accuracy = 34.80%
2025-05-06 14:04:46,812 - INFO - Epoch 95: Loss = 35.8997, Accuracy = 35.20%
2025-05-06 14:04:48,884 - INFO - Epoch 96: Loss = 35.7967, Accuracy = 36.40%
2025-05-06 14:04:50,928 - INFO - Epoch 97: Loss = 35.6298, Accuracy = 36.00%
2025-05-06 14:04:52,973 - INFO - Epoch 98: Loss = 35.7736, Accuracy = 32.00%
2025-05-06 14:04:55,023 - INFO - Epoch 99: Loss = 35.9687, Accuracy = 35.60%
2025-05-06 14:04:57,101 - INFO - Epoch 100: Loss = 35.0387, Accuracy = 40.80%
2025-05-06 14:04:59,134 - INFO - Epoch 101: Loss = 35.1210, Accuracy = 36.40%
2025-05-06 14:05:01,208 - INFO - Epoch 102: Loss = 34.7790, Accuracy = 37.60%
2025-05-06 14:05:03,266 - INFO - Epoch 103: Loss = 35.0631, Accuracy = 36.00%
2025-05-06 14:05:05,317 - INFO - Epoch 104: Loss = 34.3824, Accuracy = 40.00%
2025-05-06 14:05:07,378 - INFO - Epoch 105: Loss = 34.7332, Accuracy = 33.60%
2025-05-06 14:05:09,427 - INFO - Epoch 106: Loss = 35.1555, Accuracy = 34.80%
2025-05-06 14:05:11,474 - INFO - Epoch 107: Loss = 33.9935, Accuracy = 40.80%
2025-05-06 14:05:13,533 - INFO - Epoch 108: Loss = 33.1746, Accuracy = 42.40%
2025-05-06 14:05:15,596 - INFO - Epoch 109: Loss = 33.7763, Accuracy = 39.20%
2025-05-06 14:05:17,656 - INFO - Epoch 110: Loss = 33.7994, Accuracy = 37.60%
2025-05-06 14:05:19,883 - INFO - Epoch 111: Loss = 34.4794, Accuracy = 39.20%
2025-05-06 14:05:22,323 - INFO - Epoch 112: Loss = 33.5830, Accuracy = 42.80%
2025-05-06 14:05:24,406 - INFO - Epoch 113: Loss = 33.3255, Accuracy = 42.00%
2025-05-06 14:05:26,469 - INFO - Epoch 114: Loss = 33.4886, Accuracy = 42.40%
2025-05-06 14:05:28,523 - INFO - Epoch 115: Loss = 33.6705, Accuracy = 38.40%
2025-05-06 14:05:30,575 - INFO - Epoch 116: Loss = 33.2440, Accuracy = 44.00%
2025-05-06 14:05:32,627 - INFO - Epoch 117: Loss = 32.6518, Accuracy = 43.60%
2025-05-06 14:05:34,662 - INFO - Epoch 118: Loss = 32.6480, Accuracy = 43.60%
2025-05-06 14:05:36,696 - INFO - Epoch 119: Loss = 32.5157, Accuracy = 36.40%
2025-05-06 14:05:38,753 - INFO - Epoch 120: Loss = 32.3682, Accuracy = 42.40%
2025-05-06 14:05:40,801 - INFO - Epoch 121: Loss = 32.4438, Accuracy = 42.40%
2025-05-06 14:05:42,862 - INFO - Epoch 122: Loss = 32.2352, Accuracy = 44.80%
2025-05-06 14:05:44,905 - INFO - Epoch 123: Loss = 32.3475, Accuracy = 42.40%
2025-05-06 14:05:46,953 - INFO - Epoch 124: Loss = 32.4044, Accuracy = 42.80%
2025-05-06 14:05:49,062 - INFO - Epoch 125: Loss = 31.5923, Accuracy = 42.80%
2025-05-06 14:05:51,118 - INFO - Epoch 126: Loss = 31.2412, Accuracy = 43.20%
2025-05-06 14:05:53,185 - INFO - Epoch 127: Loss = 31.2226, Accuracy = 40.40%
