2025-05-06 13:52:29,471 - INFO - Ready for training......
2025-05-06 13:52:29,471 - INFO - Running on device cuda
2025-05-06 13:52:31,834 - INFO - Epoch 01: Loss = 62.5978, Accuracy = 2.00%
2025-05-06 13:54:13,414 - INFO - True: tomato          | Predicted: tomato
2025-05-06 13:54:13,414 - INFO - True: tomato          | Predicted: tomato
2025-05-06 13:54:13,414 - INFO - True: tomato          | Predicted: tomato
2025-05-06 13:54:13,414 - INFO - True: tomato          | Predicted: tomato
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 13:54:13,414 - INFO - True: broccoli        | Predicted: cumin
2025-05-06 13:54:13,414 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: banana          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: garlic          | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
