timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State150396,146,228,334,793,6,24,4294967295,25.09,1025.80,43.45,87.72,-72.74,1
151392,145,227,333,793,6,23,4294967295,25.10,1025.80,43.44,88.00,-72.82,1
152388,146,226,332,793,5,22,4294967295,25.10,1025.81,43.44,88.19,-72.82,1
153384,146,226,332,793,4,23,4294967295,25.10,1025.81,43.44,88.09,-72.82,1
154380,145,226,331,792,5,27,4294967295,25.10,1025.81,43.44,88.56,-72.82,1
155376,144,226,330,793,6,24,4294967295,25.10,1025.81,43.44,88.65,-72.82,1
156372,144,224,330,792,6,24,4294967295,25.10,1025.81,43.45,88.74,-72.74,1
157368,143,224,329,793,5,25,4294967295,25.10,1025.80,43.43,88.84,-72.82,1
158364,143,224,328,792,4,25,4294967295,25.10,1025.81,43.43,89.03,-72.74,1
159360,142,224,328,792,5,25,4294967295,25.10,1025.80,43.44,89.12,-72.74,1
160356,141,223,327,792,6,25,4294967295,25.10,1025.80,43.43,89.50,-72.74,1
161352,141,222,326,792,5,25,4294967295,25.10,1025.80,43.42,89.79,-72.74,1
162348,141,222,325,791,4,25,4294967295,25.10,1025.80,43.42,89.88,-72.66,1
163344,141,222,324,792,5,25,4294967295,25.10,1025.79,43.41,89.88,-72.74,1
164340,140,221,324,792,6,25,4294967295,25.10,1025.80,43.42,90.17,-72.66,1
165336,140,221,323,791,6,29,4294967295,25.10,1025.79,43.43,90.56,-72.74,1
166332,139,220,322,791,5,25,4294967295,25.10,1025.80,43.41,90.85,-72.74,1
167328,138,220,321,791,5,24,4294967295,25.09,1025.80,43.42,90.95,-72.66,1
168324,138,219,321,791,6,27,4294967295,25.09,1025.79,43.41,91.15,-72.66,1
169320,138,219,320,791,6,24,4294967295,25.09,1025.79,43.43,91.55,-72.66,1
170316,138,218,319,790,5,25,4294967295,25.09,1025.79,43.41,91.55,-72.74,1
171312,137,218,318,791,5,25,4294967295,25.09,1025.80,43.43,91.45,-72.74,1
172308,137,218,318,790,6,24,4294967295,25.08,1025.80,43.41,91.75,-72.74,1
173304,136,218,317,790,6,26,4294967295,25.08,1025.80,43.44,91.75,-72.74,1
174300,135,217,317,790,5,26,4294967295,25.08,1025.80,43.44,91.85,-72.66,1
175296,136,216,316,790,5,25,4294967295,25.08,1025.79,43.45,92.25,-72.74,1
176292,136,216,315,790,5,26,4294967295,25.08,1025.80,43.44,92.15,-72.66,1
177288,135,215,315,790,6,26,4294967295,25.08,1025.79,43.43,92.35,-72.66,1
178284,135,215,315,790,5,25,4294967295,25.07,1025.79,43.45,92.56,-72.66,1
179280,135,215,314,789,5,26,4294967295,25.07,1025.79,43.44,92.66,-72.74,1
180276,135,215,313,789,5,26,4294967295,25.07,1025.80,43.44,92.56,-72.82,1
181272,135,214,313,789,6,25,4294967295,25.07,1025.81,43.45,92.66,-72.82,1
182268,134,214,313,790,6,25,4294967295,25.07,1025.81,43.45,92.96,-72.82,1
183264,134,214,312,789,5,26,4294967295,25.07,1025.81,43.46,92.86,-72.91,1
184260,134,213,312,789,5,25,4294967295,25.07,1025.82,43.45,92.86,-72.91,1
185256,133,212,311,788,5,25,4294967295,25.06,1025.82,43.45,92.96,-72.91,1
186252,134,212,312,789,6,28,4294967295,25.06,1025.82,43.46,92.96,-72.99,1
187248,134,212,311,789,6,24,4294967295,25.06,1025.83,43.46,92.96,-72.99,1
188244,134,212,311,789,5,25,4294967295,25.06,1025.83,43.45,92.96,-73.07,1
189240,135,212,311,789,4,24,4294967295,25.06,1025.84,43.46,92.96,-73.07,1
190236,135,211,311,789,6,25,4294967295,25.06,1025.84,43.47,93.38,-73.07,1
191232,135,211,311,789,6,25,4294967295,25.06,1025.84,43.47,93.58,-73.15,1
192228,135,211,311,789,5,25,4294967295,25.06,1025.85,43.48,93.17,-73.15,1
193224,135,210,310,789,5,23,4294967295,25.05,1025.85,43.48,93.48,-73.15,1
194220,136,210,311,789,4,25,4294967295,25.05,1025.85,43.47,93.58,-73.24,1
195216,136,210,311,789,6,27,4294967295,25.05,1025.86,43.48,93.58,-73.24,1
196212,136,210,311,789,6,24,4294967295,25.05,1025.86,43.48,93.69,-73.24,1
197208,138,210,311,790,5,23,4294967295,25.05,1025.86,43.49,93.79,-73.24,1
198204,138,210,312,789,4,24,4294967295,25.05,1025.86,43.49,93.90,-73.24,1
199200,138,209,312,789,6,25,4294967295,25.05,1025.86,43.49,93.79,-73.24,1
200196,139,209,313,789,6,25,4294967295,25.05,1025.86,43.49,93.27,-73.24,1
201192,139,209,312,790,5,25,4294967295,25.05,1025.86,43.48,93.48,-73.32,1
202188,140,209,313,789,4,24,4294967295,25.05,1025.87,43.49,93.58,-73.40,1
203184,140,209,314,790,5,24,4294967295,25.05,1025.88,43.49,93.17,-73.40,1
204180,141,209,313,790,6,27,4294967295,25.05,1025.88,43.49,93.17,-73.48,1
205176,141,209,313,790,5,26,4294967295,25.05,1025.89,43.48,93.07,-73.48,1
206172,141,208,314,789,5,24,4294967295,25.04,1025.89,43.50,92.86,-73.48,1
207168,142,209,313,790,4,25,4294967295,25.04,1025.89,43.49,92.86,-73.40,1
208164,143,208,314,790,5,24,4294967295,25.04,1025.88,43.50,92.56,-73.40,1
209160,143,208,314,789,6,25,4294967295,25.04,1025.88,43.50,92.66,-73.40,1
210156,143,209,314,789,5,24,4294967295,25.04,1025.88,43.50,92.35,-73.32,1
211152,143,209,315,790,4,24,4294967295,25.04,1025.87,43.51,92.35,-73.32,1
